"","actor","receiver","grooming.sec","observation.hours","observation.seconds","grooming.rate","actor.sex","receiver.sex"
"137","ccc","scs",54,25,90000,6e-04,"F","F"
"138","ccc","sd",104,20,72000,0.00144444444444444,"F","F"
"139","ccc","sld",7127,23,82800,0.0860748792270531,"F","M"
"140","ccc","son.of.ola",42,12,43200,0.000972222222222222,"F","M"
"141","ccc","ss",66,25,90000,0.000733333333333333,"F","F"
"142","ccc","sss",18,30,108000,0.000166666666666667,"F","F"
"143","ccc","tes",462,30,108000,0.00427777777777778,"F","F"
"144","ccc","una",387,29,104400,0.00370689655172414,"F","F"
"145","ccs","c",0,30,108000,0,"F","F"
"146","ccs","cat",40,30,108000,0.00037037037037037,"F","F"
"147","ccs","cc",242,30,108000,0.00224074074074074,"F","F"
"148","ccs","ccc",0,20,72000,0,"F","F"
"149","ccs","cd",622,30,108000,0.00575925925925926,"F","F"
"150","ccs","cs",39,30,108000,0.000361111111111111,"F","F"
"151","ccs","d",77,16,57600,0.00133680555555556,"F","F"
"152","ccs","dcd",0,30,108000,0,"F","F"
"153","ccs","dd",12,10,36000,0.000333333333333333,"F","F"
"154","ccs","ddd",0,22,79200,0,"F","M"
"155","ccs","ddld",0,21,75600,0,"F","F"
"156","ccs","dld",15,20,72000,0.000208333333333333,"F","M"
"157","ccs","dos",0,21,75600,0,"F","F"
"158","ccs","dr",0,30,108000,0,"F","F"
"159","ccs","ds",0,25,90000,0,"F","F"
"160","ccs","eve",14,21,75600,0.000185185185185185,"F","F"
"161","ccs","ivy",494,21,75600,0.00653439153439153,"F","F"
"162","ccs","ld",0,30,108000,0,"F","F "
"163","ccs","ldc",0,30,108000,0,"F","M"
"164","ccs","ldd",3052,25,90000,0.0339111111111111,"F","M"
"165","ccs","lds",6,31,111600,5.37634408602151e-05,"F","F "
"166","ccs","lsd",0,7,25200,0,"F","F"
"167","ccs","no.band",0,26,93600,0,"F","F"
"168","ccs","ola",11,10,36000,0.000305555555555556,"F","F"
"169","ccs","r",144,30,108000,0.00133333333333333,"F","F"
"170","ccs","rc",0,30,108000,0,"F","F"
