"","dir.dyad","actor","receiver","a.sex","r.sex","site1","site2","season1","season2","kinship","grooming","foodsharing","dist"
"173","bat3_lsd","bat3","lsd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.51898230210329
"174","bat3_lucyson","bat3","lucyson","F","M","zoo","zoo","phd","phd",0.1618,NA,NA,2.90093023956339
"175","bat3_mabel","bat3","mabel","F","F","zoo","tole","phd","lab",0,NA,NA,3.47435285449739
"176","bat3_marce","bat3","marce","F","F","zoo","zoo","phd","phd",0,NA,0,2.08581390769613
"177","bat3_no-band","bat3","no-band","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,3.0467790731186
"178","bat3_ola","bat3","ola","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.86827034230133
"179","bat3_opal","bat3","opal","F","F","zoo","chorrera","phd","lab",0,NA,NA,3.49806596753936
"180","bat3_piper","bat3","piper","F","F","zoo","chorrera","phd","lab",0,NA,NA,3.4967728455024
"181","bat3_queen","bat3","queen","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,3.22504048563903
"182","bat3_r","bat3","r","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.74291353538303
"183","bat3_rc","bat3","rc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.7919774397515
"184","bat3_rina","bat3","rina","F","F","zoo","chorrera","phd","lab",0,NA,NA,3.11966927207375
"185","bat3_s","bat3","s","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.86196667995182
"186","bat3_sam6","bat3","sam6","F",NA,"zoo","chilibre","phd","postdoc",0,NA,NA,2.93964284076489
"187","bat3_sc","bat3","sc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.09818364956663
"188","bat3_scc","bat3","scc","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.96963850566466
"189","bat3_scs","bat3","scs","F","F","zoo","tole","phd","lab",0,NA,NA,3.37973375459801
"190","bat3_sd","bat3","sd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.99823338909487
"191","bat3_shania","bat3","shania","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,3.75441929544713
"192","bat3_sheldon","bat3","sheldon","F","M","zoo","zoo","phd","phd",0,NA,NA,2.64644957003104
"193","bat3_six","bat3","six","F","M","zoo","las.pavas","phd","postdoc",0,NA,NA,2.74659637154586
"194","bat3_snow","bat3","snow","F","F","zoo","zoo","phd","phd",0.0745,NA,0,2.82981814464355
"195","bat3_son-of-ola","bat3","son-of-ola","F","M","zoo","las.pavas","phd","postdoc",0,NA,NA,2.40809493924077
"196","bat3_speedster","bat3","speedster","F","M","zoo","zoo","phd","phd",0.1749,NA,NA,2.97360607337463
"197","bat3_ss","bat3","ss","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.80312856942014
"198","bat3_sss","bat3","sss","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.7431196961271
"199","bat3_streblick","bat3","streblick","F","M","zoo","zoo","phd","phd",0,NA,NA,3.56046986706377
"200","bat3_tiffany","bat3","tiffany","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.96523840287744
"201","bat3_vampison","bat3","vampison","F","M","zoo","zoo","phd","phd",NA,NA,NA,2.11319809167891
"202","bat3_vixen","bat3","vixen","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.6370414424019
"203","bat3_zaria","bat3","zaria","F","F","zoo","zoo","phd","phd",0.0228,NA,0,2.50011767614843
"204","bat3_zelda","bat3","zelda","F","F","zoo","chorrera","phd","lab",0,NA,NA,3.31725186536019
"205","bat4_alicia","bat4","alicia","F","F","zoo","chorrera","phd","lab",0,NA,NA,1.80212816854068
"206","bat4_bat2","bat4","bat2","F","F","zoo","zoo","phd","phd",0.5,NA,0,2.40246033619826
"207","bat4_bat3","bat4","bat3","F","F","zoo","zoo","phd","phd",0.4625,NA,0.025,2.21555972946467
"208","bat4_bat5","bat4","bat5","F","M","zoo","zoo","phd","phd",0.3523,NA,NA,1.60883687066499
"209","bat4_bat6","bat4","bat6","F","M","zoo","zoo","phd","phd",0,NA,NA,2.38604209593861
"210","bat4_bat7","bat4","bat7","F","M","zoo","zoo","phd","phd",0.1686,NA,NA,1.47494249918175
"211","bat4_bella","bat4","bella","F","F","zoo","zoo","phd","phd",0,NA,0,1.37420133745709
"212","bat4_betty","bat4","betty","F","F","zoo","tole","phd","lab",0,NA,NA,2.65034777099328
"213","bat4_black-panther","bat4","black-panther","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.15919198544954
"214","bat4_c","bat4","c","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.25013109892534
"215","bat4_cat","bat4","cat","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,1.89007485312938
"216","bat4_cc","bat4","cc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.76343383626984
"217","bat4_ccc","bat4","ccc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.51179661934499
"218","bat4_ccs","bat4","ccs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.09222159130557
"219","bat4_cerce","bat4","cerce","F","F","zoo","zoo","phd","phd",0.0327,NA,0,1.21767922891794
"220","bat4_cerceson","bat4","cerceson","F","M","zoo","zoo","phd","phd",0,NA,NA,3.77029501721737
"221","bat4_cindy","bat4","cindy","F","F","zoo","tole","phd","lab",0,NA,NA,2.53568804416301
"222","bat4_cs","bat4","cs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.1490812609547
"223","bat4_d","bat4","d","F","F","zoo","tole","phd","lab",0,NA,NA,1.86703234983807
"224","bat4_dcd","bat4","dcd","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.68985521715226
"225","bat4_dd","bat4","dd","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.60682210367257
"226","bat4_ddld","bat4","ddld","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.67628583333314
"227","bat4_eve","bat4","eve","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.3052524468034
"228","bat4_falcon","bat4","falcon","F","M","zoo","tole","phd","postdoc",0,NA,NA,1.79016613979276
"229","bat4_flapper","bat4","flapper","F","M","zoo","zoo","phd","phd",0,NA,NA,1.89789785045958
"230","bat4_fran","bat4","fran","F","F","zoo","tole","phd","lab",0,NA,NA,2.94260665950121
"231","bat4_gayle","bat4","gayle","F","F","zoo","tole","phd","lab",0,NA,NA,2.82484802950601
"232","bat4_gremlin","bat4","gremlin","F","M","zoo","zoo","phd","phd",0.086,NA,0,1.74924630794754
"233","bat4_hera","bat4","hera","F","F","zoo","tole","phd","lab",0,NA,NA,2.96993168423765
"234","bat4_hilga","bat4","hilga","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.85212578251544
"235","bat4_hulk","bat4","hulk","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.01149680790488
"236","bat4_jenna-bat","bat4","jenna-bat","F","M","zoo","gamboa","phd","postdoc",0,NA,NA,1.97341453011948
"237","bat4_jupiter","bat4","jupiter","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.28925182920921
"238","bat4_kelly","bat4","kelly","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,1.98913809800714
"239","bat4_ldc","bat4","ldc","F","M","zoo","tole","phd","postdoc",0,NA,NA,4.7879363128591
"240","bat4_lds","bat4","lds","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.02711660054285
"241","bat4_lsd","bat4","lsd","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.90270359868081
"242","bat4_lucyson","bat4","lucyson","F","M","zoo","zoo","phd","phd",0,NA,NA,2.74401908376779
"243","bat4_mabel","bat4","mabel","F","F","zoo","tole","phd","lab",0,NA,NA,3.07318198881965
"244","bat4_marce","bat4","marce","F","F","zoo","zoo","phd","phd",0,NA,0,1.7253553826007
"245","bat4_no-band","bat4","no-band","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.18009285277882
"246","bat4_ola","bat4","ola","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.14489733275709
"247","bat4_opal","bat4","opal","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.93585633976535
"248","bat4_piper","bat4","piper","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.27238494241036
"249","bat4_queen","bat4","queen","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.44854793978002
"250","bat4_r","bat4","r","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.9604482149273
"251","bat4_rc","bat4","rc","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.34370233194455
"252","bat4_rina","bat4","rina","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.48050611769126
