"","alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
"scc",0,12,2,15,16,0,5,0,234,5,0,2,0,0,0,0,1,30,0,4,0,33,73,0,0,1,2,7,0,33,9,3,3,46,0,1,17,0,0,3,0,3,0,20,2,4,2,0,56,0,0,0,89,36,23,0,1,4,41,1,0,34,3,5,1,0,2
"scs",0,200,75,111,78,11,74,0,4240,53,1,24,9,2,2,0,20,385,0,0,0,113,444,1,0,4,7,71,1,115,18,12,10,1711,4,20,525,0,426,5,0,254,116,421,319,29,1,8,298,10,0,0,6209,3,14,5,30,3,1515,52,0,247,16,85,0,0,173
"sd",0,0,0,15,36,0,2,0,405,2,0,27,0,91,0,0,0,23,0,13,1,279,1105,0,0,1,0,1,0,111,8,9,6,4,2,0,188,0,0,30,0,17,2,25,7,4,0,0,39,1,0,0,2,591,65,0,5,20,137,2,0,26,31,2,0,0,3
"shania",0,2,11,24,31,3,0,0,489,5,0,1,3,2,0,1,4,159,0,1,0,3,862,0,0,94,1,15,0,68,2,2,3,13,4,4,197,0,17,24,0,0,272,359,274,13,5,12,2,0,0,0,2,4,5848,0,0,3,35,18,0,2,131,4,0,0,494
"sheldon",0,20,6,10,11,0,2,0,71,1,0,6,0,24,0,0,2,33,0,0,0,27,230,0,0,42,0,2,0,29,4,2,0,17,17,0,218,0,0,25,0,19,7,134,30,0,0,0,6,0,1,0,13,3,42,24,2,2,185,52,0,15,12,61,0,0,3
"six",0,22,31,19,10,1,49,0,434,0,5,17,2,8,0,0,2,36,0,0,0,102,192,0,0,0,0,37,0,4,29,2,5,6,1,5,363,0,0,3,0,335,0,116,1,56,0,0,99,7,0,0,52,0,0,0,197,0,1401,0,0,61,3,42,0,0,0
"snow",0,5,2,17,59,0,15,0,67,0,0,12,1,12,0,0,0,23,0,2,1,116,109,0,0,8,0,6,0,15,11,11,5,0,0,0,21,1,0,10,0,7,0,50,2,1,0,1,11,5,0,0,1,104,16,0,1,81,49,0,0,20,38,7,0,2,0
"son-of-ola",0,181,347,102,140,106,35,0,4117,46,0,232,8,37,4,3,113,299,0,4,1,511,3312,1,0,6,8,20,0,185,14,8,4,516,17,34,1063,0,86,19,0,652,3,238,26,89,0,0,352,10,0,0,541,30,2,1,200,44,7108,5,68,343,96,262,1,0,21
"speedster",0,188,2,14,63,1,2,1,391,1,0,67,2,41,0,2,49,172,0,0,0,62,628,0,0,283,0,2,0,53,4,0,0,161,78,0,158,0,6,8,0,19,160,281,157,3,1,3,16,3,0,0,56,32,159,1,4,8,116,388,7,82,27,118,0,2,4
"ss",0,1,0,0,1,0,0,0,228,0,0,3,1,12,0,0,0,118,0,1,0,5,157,0,0,16,1,5,0,61,1,5,0,0,17,0,60,0,7,0,0,0,18,29,47,3,0,1,1,0,0,0,2,1,14,0,0,3,15,11,115,9,6,13,0,0,1
"sss",0,346,23,24,158,6,58,0,7174,16,2,44,5,81,2,0,96,1061,0,8,1,217,1751,0,0,27,7,193,0,437,84,33,6,150,23,2,1758,0,34,34,0,294,116,757,265,6,0,0,284,12,0,0,303,81,26,1,11,26,850,37,33,1904,38,356,7,0,26
"streblick",0,2,2,25,2,0,3,1,3,0,3,1,0,9,0,0,0,10,0,0,0,10,153,0,0,7,0,0,0,1,0,2,0,1,5,1,26,0,0,5,0,0,0,28,3,1,1,0,2,0,0,0,0,31,38,0,0,4,15,1,0,0,503,0,0,0,0
"vampison",0,33,70,6,20,2,0,2,800,8,0,52,8,19,0,0,523,646,0,0,0,28,1209,0,0,14,0,2,0,199,1,4,1,410,41,1,10,0,23,26,0,29,39,19,422,3,0,1,17,0,0,0,132,4,30,6,2,4,122,112,10,49,127,1661,0,0,11
"vixen",0,4,2,3,162,0,23,2,562,0,10,15,1,4,0,0,30,563,1,1,2,96,284,0,0,26,4,39,0,42,39,5,0,49,43,24,62,0,44,2,0,8,38,221,583,48,0,1,37,12,0,0,17,2,11,0,0,44,29,35,6,63,27,112,5,0,24
"zaria",0,53,22,74,16,0,8,0,215,3,13,12,3,18,0,0,21,50,0,3,0,48,262,0,0,28,0,6,0,68,2,3,6,81,16,3,45,0,4,27,0,7,25,201,82,8,0,0,18,0,0,0,74,32,84,1,1,4,166,26,0,36,47,37,0,7,17
"zelda",0,7,15,18,35,12,2,0,1059,8,4,6,2,0,0,0,21,239,1,0,0,5,161,0,0,5,6,46,0,101,8,0,2,23,6,51,45,0,76,0,0,2,443,565,926,267,0,1,54,0,0,0,24,0,296,0,0,4,13,28,2,28,4,73,3,0,1558
