"bat1","bat2","dyad","kinship","site1","site2","season1","season2"
"bat2","green-arrow","bat2_green-arrow",0,"zoo","tole","phd","postdoc"
"bat2","gremlin","bat2_gremlin",0.1182,"zoo","zoo","phd","phd"
"bat2","helsing","bat2_helsing",0.1405,"zoo","zoo","phd","phd"
"bat2","hera","bat2_hera",0,"zoo","tole","phd","lab"
"bat2","hilga","bat2_hilga",0,"zoo","tole","phd","postdoc"
"bat2","houdini","bat2_houdini",0.101,"zoo","zoo","phd","phd"
"bat2","hulk","bat2_hulk",0,"zoo","tole","phd","postdoc"
"bat2","irma","bat2_irma",0,"zoo","lake.bayano","phd","lab"
"bat2","iron-man","bat2_iron-man",0,"zoo","tole","phd","postdoc"
"bat2","ivy","bat2_ivy",0,"zoo","las.pavas","phd","postdoc"
"bat2","jenna-bat","bat2_jenna-bat",0,"zoo","gamboa","phd","postdoc"
"bat2","jupiter","bat2_jupiter",0,"zoo","lake.bayano","phd","lab"
"bat2","kelly","bat2_kelly",0,"zoo","lake.bayano","phd","lab"
"bat2","ldc","bat2_ldc",0,"zoo","tole","phd","postdoc"
"bat2","lds","bat2_lds",0,"zoo","tole","phd","postdoc"
"bat2","lilith","bat2_lilith",0,"zoo","lake.bayano","phd","lab"
"bat2","lily","bat2_lily",0.0215,"zoo","zoo","phd","phd"
"bat2","lilyson","bat2_lilyson",0.1282,"zoo","zoo","phd","phd"
"bat2","lsd","bat2_lsd",0,"zoo","tole","phd","postdoc"
"bat2","lucy","bat2_lucy",0.0834,"zoo","zoo","phd","phd"
"bat2","lucyson","bat2_lucyson",0,"zoo","zoo","phd","phd"
"bat2","mabel","bat2_mabel",0,"zoo","tole","phd","lab"
"bat2","marce","bat2_marce",0.0883,"zoo","zoo","phd","phd"
"bat2","maribelo","bat2_maribelo",0.2061,"zoo","zoo","phd","phd"
"bat2","mina","bat2_mina",0.0054,"zoo","zoo","phd","phd"
"bat2","mya","bat2_mya",0,"zoo","zoo","phd","phd"
"bat2","no-band","bat2_no-band",0,"zoo","las.pavas","phd","postdoc"
"bat2","ola","bat2_ola",0,"zoo","las.pavas","phd","postdoc"
"bat2","opal","bat2_opal",0,"zoo","chorrera","phd","lab"
"bat2","piper","bat2_piper",0,"zoo","chorrera","phd","lab"
"bat2","pixus","bat2_pixus",0,"zoo","zoo","phd","phd"
"bat2","queen","bat2_queen",0,"zoo","lake.bayano","phd","lab"
"bat2","r","bat2_r",0,"zoo","tole","phd","postdoc"
"bat2","rc","bat2_rc",0,"zoo","tole","phd","postdoc"
"bat2","rina","bat2_rina",0,"zoo","chorrera","phd","lab"
"bat2","s","bat2_s",0,"zoo","tole","phd","postdoc"
"bat2","sam1","bat2_sam1",0,"zoo","chilibre","phd","postdoc"
"bat2","sam2","bat2_sam2",0,"zoo","chilibre","phd","postdoc"
"bat2","sam5","bat2_sam5",0,"zoo","chilibre","phd","postdoc"
"bat2","sam6","bat2_sam6",0,"zoo","chilibre","phd","postdoc"
"bat2","sam7","bat2_sam7",0,"zoo","chilibre","phd","postdoc"
"bat2","sc","bat2_sc",0,"zoo","tole","phd","postdoc"
"bat2","scc","bat2_scc",0,"zoo","tole","phd","postdoc"
"bat2","scs","bat2_scs",0,"zoo","tole","phd","lab"
"bat2","sd","bat2_sd",0,"zoo","tole","phd","postdoc"
"bat2","shania","bat2_shania",0,"zoo","lake.bayano","phd","lab"
"bat2","sheldon","bat2_sheldon",0,"zoo","zoo","phd","phd"
"bat2","six","bat2_six",0,"zoo","las.pavas","phd","postdoc"
"bat2","snow","bat2_snow",0.0631,"zoo","zoo","phd","phd"
"bat2","son-of-ola","bat2_son-of-ola",0,"zoo","las.pavas","phd","postdoc"
"bat2","sonofzaria","bat2_sonofzaria",0.0624,"zoo","zoo","phd","phd"
"bat2","speedster","bat2_speedster",0.2049,"zoo","zoo","phd","phd"
"bat2","spiderman","bat2_spiderman",0,"zoo","tole","phd","postdoc"
"bat2","ss","bat2_ss",0,"zoo","tole","phd","postdoc"
"bat2","sss","bat2_sss",0,"zoo","tole","phd","postdoc"
"bat2","streblick","bat2_streblick",0,"zoo","zoo","phd","phd"
"bat2","tes","bat2_tes",0,"zoo","las.pavas","phd","postdoc"
"bat2","thecount","bat2_thecount",0,"zoo","zoo","phd","phd"
"bat2","tiffany","bat2_tiffany",0,"zoo","lake.bayano","phd","lab"
"bat2","toast","bat2_toast",0,"zoo","tole","phd","lab"
"bat2","una","bat2_una",0,"zoo","las.pavas","phd","postdoc"
"bat2","vampirella","bat2_vampirella",0,"zoo","zoo","phd","phd"
"bat2","vampison","bat2_vampison",NA,"zoo","zoo","phd","phd"
"bat2","veronica","bat2_veronica",0,"zoo","zoo","phd","phd"
"bat2","vixen","bat2_vixen",0,"zoo","chorrera","phd","lab"
"bat2","vlad","bat2_vlad",0.049,"zoo","zoo","phd","phd"
"bat2","war-machine","bat2_war-machine",0,"zoo","tole","phd","postdoc"
"bat2","whimsey","bat2_whimsey",0,"zoo","zoo","phd","phd"
"bat2","winona","bat2_winona",0,"zoo","chorrera","phd","lab"
"bat2","zaria","bat2_zaria",0.0488,"zoo","zoo","phd","phd"
"bat2","zarison","bat2_zarison",0,"zoo","zoo","phd","phd"
"bat2","zelda","bat2_zelda",0,"zoo","chorrera","phd","lab"
"bat3","alicia","alicia_bat3",0,"zoo","chorrera","phd","lab"
"bat3","bat1","bat1_bat3",0.253,"zoo","zoo","phd","phd"
"bat3","bat2","bat2_bat3",0.4777,"zoo","zoo","phd","phd"
"bat3","bat4","bat3_bat4",0.4625,"zoo","zoo","phd","phd"
"bat3","bat5","bat3_bat5",0.2214,"zoo","zoo","phd","phd"
"bat3","bat6","bat3_bat6",0.349,"zoo","zoo","phd","phd"
"bat3","bat7","bat3_bat7",0.1504,"zoo","zoo","phd","phd"
"bat3","bella","bat3_bella",0.1252,"zoo","zoo","phd","phd"
"bat3","betty","bat3_betty",0,"zoo","tole","phd","lab"
"bat3","black-panther","bat3_black-panther",0,"zoo","tole","phd","postdoc"
"bat3","c","bat3_c",0,"zoo","tole","phd","postdoc"
"bat3","captain-america","bat3_captain-america",0,"zoo","tole","phd","postdoc"
"bat3","cat","bat3_cat",0,"zoo","las.pavas","phd","postdoc"
"bat3","cc","bat3_cc",0,"zoo","tole","phd","postdoc"
"bat3","ccc","bat3_ccc",0,"zoo","tole","phd","postdoc"
"bat3","ccs","bat3_ccs",0,"zoo","tole","phd","postdoc"
"bat3","cd","bat3_cd",0,"zoo","tole","phd","postdoc"
"bat3","cerce","bat3_cerce",0.29,"zoo","zoo","phd","phd"
"bat3","cerceson","bat3_cerceson",0,"zoo","zoo","phd","phd"
"bat3","cindy","bat3_cindy",0,"zoo","tole","phd","lab"
"bat3","countess","bat3_countess",0.036,"zoo","zoo","phd","phd"
"bat3","cs","bat3_cs",0,"zoo","tole","phd","postdoc"
"bat3","csc","bat3_csc",0,"zoo","tole","phd","postdoc"
"bat3","d","bat3_d",0,"zoo","tole","phd","lab"
